核心标识,attributes.session.has_replay,是否回放,是否回放,布尔,采集,✅ 必须,支持,Session,SDK 上报 Session Replay 启用状态,标识当前 Session 是否包含回放数据。
核心标识,attributes.view.id,视图 ID,,ID,采集,✅ 必须,支持,View,SDK 生成 View ID,页面或路由实例主键。
核心标识,attributes.view.name,视图名称,,字符串,采集,✅ 必须,支持,View,默认取 view.url_template；startView({ name }) / setViewName 可覆盖,默认使用路径分组，也可由接入方设置。
核心标识,attributes.view.loading_type,视图加载类型,,字符串,采集,✅ 必须,支持,View,SDK 按 View 创建场景派生,initial_load（首次页面加载，即初始导航） / route_change（SPA 路由切换） / session_renewal（会话续期后重建） / bf_cache（从浏览器 BFCache 恢复）。
核心标识,attributes.view.url,视图 URL,,字符串,采集,✅ 必须,支持,View,window.location.href,当前视图的完整 URL。
核心标识,attributes.view.previous,视图 URL（前一个）,,字符串,采集,✅ 必须,SDK 上报，预计算不写入,View,上一个逻辑 View 的 URL,关联当前 View 的前一个视图；预计算索引不再消费此字段。
核心标识,attributes.view.url_template,视图路径分组,,字符串,采集,✅ 必须,支持,View,URL pathname + 接入方分组配置,聚合用低基数路径；默认仅取 pathname，不自动把数字或 UUID 替换为 :id。
核心标识,attributes.view.previous_url_template,前序视图路径模板,,字符串,采集,✅ 必须,支持,View,SDK 上报 view.previous_url_template,
核心标识,attributes.view.loading_time,视图加载耗时,,数值(ms),采集,✅ 必须,支持,View,SDK 等待 loadEventEnd 与页面活动稳定后计算,加载时间计算完成后上报；start 阶段可能不存在。
体验聚合,view_count,View 数量,View 数量,数值,派生,✅ 必须,Session 预计算,Session,派生：distinct(view.id),本 session 内访问页面数，不可直接按 attributes.span_type=view 来统计，因为 View Span 有版本（attributes.view.version）的概念。
体验聚合,enter_url_template,入口视图 URL,入口视图 URL,字符串,派生,✅ 必须,Session 预计算,Session,派生：min(start_time + view.url + session.id).view.url（url_template）,用户进入应用的视图URL
体验聚合,exit_url_template,退出视图 URL,退出视图 URL,字符串,派生,✅ 必须,Session 预计算,Session,派生：max(start_time + view.url + session.id).view.url（url_template）,用户退出应用的视图URL
体验聚合,web_vitals.cls,CLS 指标值,CLS 指标值,浮点,派生,✅ 必须,View 预计算,View,派生：attributes.vital.value,
体验聚合,web_vitals.lcp,lcp 指标,lcp 指标,数值(ms),派生,✅ 必须,View 预计算,View,派生：attributes.vital.value,
体验聚合,web_vitals.fcp,fcp 指标,fcp 指标,数值(ms),派生,✅ 必须,View 预计算,View,派生：attributes.vital.value,
体验聚合,web_vitals.inp,inp 指标,inp 指标,数值(ms),派生,✅ 必须,View 预计算,View,派生：attributes.vital.value,
体验聚合,web_vitals.ttfb,ttfb 指标,ttfb 指标,数值(ms),派生,✅ 必须,View 预计算,View,派生：attributes.vital.value,
体验聚合,trace_count,Trace 数量,Trace 数量,数值,派生,✅ 必须,"Session 预计算,View 预计算","View,Session",派生：count(links[].trace_id),"满足 `attributes.span_type=resource, attributes.resource.type=xhr or fetch` 时，SDK 将前端生成的 TraceID 记录到该字段。"
体验聚合,error_count,错误数量,错误数量,数值,派生,✅ 必须,"Session 预计算,View 预计算","View,Session",派生：count(attributes.span_type=error),异常密度
体验聚合,action_count,动作数量,动作数量,数值,派生,✅ 必须,"Session 预计算,View 预计算","View,Session",派生：count(attributes.span_type=action),用户交互次数
体验聚合,request_count,动作数量,动作数量,数值,派生,✅ 必须,"Session 预计算,View 预计算","View,Session","派生：count(attributes.resource.type ∈{xhr, fetch})",外部调用规模
体验聚合,long_task_count,Long Task 数,Long Task 数,数值,派生,✅ 必须,"Session 预计算,View 预计算","View,Session",派生：count(attributes.span_type=long_task),
体验聚合,is_active,是否进行中,是否进行中,字符串,派生,✅ 必须,"Session 预计算,View 预计算","View,Session",派生： 是 attributes.session.phase  != end ，否 attributes.session.phase = end（补下 view 的）,session 是否还在活动中
体验聚合,end_reason,结束原因,,字符串,派生,✅ 必须,"Session 预计算,View 预计算","View,Session",派生：接收到 phase=end -> 正常关闭 / -> 预计算超时,
体验聚合,duration,持续时长,持续时长,数值(us),派生,✅ 必须,"Session 预计算,View 预计算","View,Session",派生：max(end_time) - min(start_time),
体验聚合,frustration_count,挫败行为数,挫败行为数,数值,派生,✅ 必须,"Session 预计算,View 预计算","View,Session",派生：count(span_type ∈ {click,action} 且 attributes.action.frustration.type 非空),挫败信号计数。
